,A,AES,ADBE,AET,ACE,AGN,AME,AAPL,AIV,AN,ACN,BAX,BK,AXP,AMAT,AEE,BAC,AIG,ADSK,BCR,ALLE,AVGO,AZO,AON,AIZ,GAS,AMG,BMS,BBBY,AMP,AMT,AFL,BHI,ADT,ABC,AA,ADS,ADP,AEP,BBT,AMGN,ABBV,ABT,ALXN,AMZN,ADM,BDX,ADI,AKAM,ALL,AVY,BLL,MO,MMM,APH,AVB,ARG,APC,APA,ALTR,APD,T
AON,0.917545977752,0.719054168941,0.717093072864,0.758734317339,0.942281879565,0.781544831444,0.927582366245,0.873919730603,0.778081047225,0.803262284716,0.892450193673,0.784148101372,0.898048613169,0.937710943816,0.784885743055,0.754349726057,0.878912163446,0.905532733316,0.83105216528,0.713340628563,0.861179171316,0.819318536655,0.794425011603,1.0,0.777146013765,0.873587485083,0.861315782369,0.883187500348,0.745352886521,0.843559014465,0.857321259394,0.877163199812,0.499498921451,0.797734789109,0.689315337063,0.560905177425,0.896544314118,0.845043235737,0.899871335202,0.836074853078,0.793724136527,0.851437008714,0.89525216246,0.639915484969,0.827296847855,0.872828208061,0.797860992622,0.755029217554,0.793971488174,0.890929896449,0.86676213186,0.769210482859,0.862348573561,0.891720392445,0.758997379558,0.776614119563,0.767447534053,0.787262489299,0.524179722312,0.781945233637,0.768143504709,0.918952474955
AIZ,0.849337256836,0.528110687497,0.517324864304,0.915303821469,0.874766699671,0.764851880595,0.741817286292,0.936153791634,0.75754306473,0.857716310546,0.870898209473,0.898941928758,0.902020798903,0.865996186724,0.876448934687,0.570585616978,0.8487884979,0.891534123955,0.658657619636,0.62622959746,0.893101757481,0.942956481417,0.763269766938,0.777146013765,1.0,0.883490524547,0.874292058824,0.791674186689,0.606168782643,0.92445548679,0.74680729178,0.930377755209,0.66212288049,0.73212349938,0.775454851534,0.358617712628,0.808618753942,0.935933680477,0.792679509579,0.745235989619,0.821618813007,0.860943334087,0.792842396106,0.710767765,0.843028367027,0.800576842166,0.813935444565,0.626179564762,0.72245050744,0.921631553948,0.912045514378,0.901639428577,0.941062218789,0.870626202273,0.935664773779,0.567118096152,0.479490531643,0.788716424533,0.307175460555,0.858772351083,0.899300489491,0.889499732099
GAS,0.87093786531,0.690265238763,0.60696072975,0.948484643914,0.950601640013,0.876231011937,0.821496433664,0.958713916042,0.804351127684,0.907740553663,0.886208498315,0.922427251223,0.9203664082,0.911006793378,0.887524248743,0.650844926299,0.831743760734,0.942028958306,0.8174040181,0.592025218647,0.935160707096,0.893302689907,0.846169306586,0.873587485083,0.883490524547,1.0,0.944928277796,0.827697174864,0.684914324584,0.963490593171,0.81933517301,0.962597411622,0.680610012869,0.86693070123,0.868029530022,0.516434430314,0.826784289961,0.97599077684,0.883671878113,0.740320489725,0.911463875945,0.957827730816,0.905336435561,0.805002298763,0.84072979294,0.798025777818,0.808965349351,0.657480881038,0.800315722023,0.956693850138,0.983719158577,0.937124039666,0.923053588061,0.846588503112,0.914676092317,0.641726693405,0.648283212026,0.89321076791,0.460678954314,0.937139756327,0.892214072838,0.926746649941
AMG,0.886744588149,0.67184168711,0.63325668901,0.910701898823,0.928153577345,0.792985111563,0.809805812252,0.940729058845,0.711736931048,0.868872963572,0.880736100481,0.89928078795,0.906123460968,0.891620857507,0.83603497238,0.586462565085,0.85113159366,0.926085975734,0.778845405171,0.574189317461,0.927095980223,0.898604316669,0.850929761575,0.861315782369,0.874292058824,0.944928277796,1.0,0.820099653756,0.738812437212,0.960223287461,0.848168050547,0.947951143,0.605652367717,0.818854995198,0.771139365889,0.497286570783,0.809893690539,0.949352314398,0.883500156733,0.736052016762,0.843724444226,0.91752799811,0.82422096104,0.744785588827,0.791363881383,0.83824955851,0.838925108058,0.662901407057,0.794801961823,0.939463232443,0.934609532859,0.946114669748,0.929739847085,0.841437434655,0.888144104074,0.616994727576,0.634719475706,0.86058651582,0.429583919317,0.900984879643,0.889743870793,0.936629986921
BMS,0.878587679129,0.744552658299,0.493343129374,0.744890353818,0.872358299587,0.772031189877,0.893487556018,0.826218887922,0.657454151325,0.780477398163,0.788616147251,0.754418562687,0.850894089911,0.917801008995,0.813046105363,0.729428290122,0.829382593504,0.85046411834,0.747169905567,0.673628593254,0.851659277803,0.811384140389,0.80525980014,0.883187500348,0.791674186689,0.827697174864,0.820099653756,1.0,0.548420790928,0.790797645674,0.790141899834,0.827561252985,0.50267701254,0.739560696055,0.61929891672,0.427084061231,0.867181110746,0.823064750254,0.841343377214,0.793159819419,0.73606667629,0.776124454447,0.800662540822,0.610620316712,0.775858697175,0.781066050412,0.728566367192,0.669200690351,0.668871295208,0.824309515745,0.866603822566,0.765397420471,0.806676441237,0.790632584593,0.715095908789,0.572208263569,0.743747218403,0.672066833887,0.371071288317,0.739461262723,0.69647245865,0.873284674793
BBBY,0.709079637857,0.285906503026,0.629266143631,0.603226138152,0.721848095343,0.471564220577,0.66884289365,0.671168450403,0.630937981961,0.603559233412,0.745200800482,0.573313142593,0.717520762356,0.64351553413,0.544158429305,0.372283056435,0.63253246862,0.746918334933,0.563393449227,0.383702675803,0.656937495387,0.664789694489,0.641989274155,0.745352886521,0.606168782643,0.684914324584,0.738812437212,0.548420790928,1.0,0.693532013798,0.730624806353,0.70776197455,0.389451931127,0.652742582622,0.479789404024,0.400410901515,0.660029330082,0.688846870244,0.659905550027,0.485612703934,0.587385377134,0.684402696686,0.644359743932,0.44427151385,0.596986899722,0.651633277389,0.573721210147,0.639080696295,0.658275481008,0.777540319604,0.640187309733,0.649025511322,0.74050969611,0.728241497991,0.628922374968,0.654416248702,0.570428075046,0.61152335751,0.30734629867,0.652556698723,0.681692040977,0.712626875565
AMP,0.881551799484,0.657235870436,0.648181484587,0.967552090887,0.944177589549,0.830503500259,0.805067549911,0.978910111163,0.776474429579,0.92293178191,0.919216565269,0.948372291802,0.936927351155,0.899996308022,0.895554405687,0.615934735436,0.863133931651,0.949943287911,0.789634810448,0.583539181624,0.922488142586,0.914686268038,0.866783154781,0.843559014465,0.92445548679,0.963490593171,0.960223287461,0.790797645674,0.693532013798,1.0,0.849220123212,0.988550178651,0.700064454654,0.832093301838,0.843746798256,0.50434825445,0.827237891984,0.987776618685,0.891280713358,0.76453011061,0.919273237118,0.964507287945,0.877558543399,0.796276713401,0.873480176486,0.843489381227,0.825900085059,0.63473500379,0.80471228274,0.96921038797,0.960410050256,0.951243782786,0.951981980268,0.890515701228,0.959824949634,0.665649370129,0.586832673323,0.894245491486,0.45102273449,0.921844383124,0.954770267799,0.952893934478
AMT,0.880270531405,0.65359253245,0.541061031061,0.741177177576,0.895864759326,0.72598170367,0.893317197619,0.831873879359,0.748860866563,0.857035719792,0.785801703519,0.801741409125,0.915088587896,0.91275889351,0.780285466626,0.761490504636,0.904714501593,0.890732905221,0.757809223978,0.667631384926,0.847954838121,0.792376064278,0.85509715239,0.857321259394,0.74680729178,0.81933517301,0.848168050547,0.790141899834,0.730624806353,0.849220123212,1.0,0.880063777623,0.63201941089,0.820039002752,0.65736797274,0.697947904551,0.881059829544,0.819380473073,0.906597046524,0.855013611822,0.796175495429,0.793481769001,0.897391837078,0.623007923773,0.786569938518,0.91631731986,0.789653739834,0.695734772114,0.745050053328,0.874631907975,0.822288233733,0.75967876348,0.798341394072,0.896736431425,0.771352239502,0.7806668669,0.837849067392,0.791863945827,0.611578583638,0.75526207745,0.813429308968,0.939375616295
AFL,0.911485349701,0.682207142065,0.638543678001,0.9569966071,0.96459689258,0.842626027724,0.853338142843,0.985245704122,0.813567320905,0.925391584401,0.920796450964,0.94855454531,0.956694443331,0.933295953003,0.911646466815,0.650550652748,0.88573353772,0.957020641587,0.805940233491,0.65867720338,0.941593940241,0.935351463117,0.877716654302,0.877163199812,0.930377755209,0.962597411622,0.947951143,0.827561252985,0.70776197455,0.988550178651,0.880063777623,1.0,0.711284507216,0.848844882287,0.83055916619,0.542481983244,0.864315031576,0.983372527114,0.902817956295,0.80096403342,0.917994812913,0.959058940676,0.902036344567,0.779355172205,0.877250695842,0.877630185188,0.844649764907,0.657093935963,0.821149470727,0.980860418521,0.963758716276,0.929810830126,0.950113458123,0.915775112156,0.946129241712,0.697903498208,0.640486387528,0.89784512972,0.483836664699,0.899179539363,0.93280363755,0.966684900695
BHI,0.552203906004,0.386230072643,0.345680267195,0.717880735079,0.662135665916,0.558162105267,0.523585431134,0.673173288169,0.574085263546,0.665466990602,0.625034875089,0.738531908267,0.60357639298,0.615226490879,0.780607905885,0.392646820831,0.498177178303,0.669766324115,0.609632048005,0.408044109215,0.625082488969,0.721574666382,0.682438598188,0.499498921451,0.66212288049,0.680610012869,0.605652367717,0.50267701254,0.389451931127,0.700064454654,0.63201941089,0.711284507216,1.0,0.727310870965,0.6781000301,0.506426584257,0.477828625361,0.698377045593,0.535257604441,0.460265059239,0.742803261416,0.654491525501,0.661325839121,0.591499314129,0.567008645664,0.675393198135,0.576974536802,0.412810171121,0.584299363967,0.662063460073,0.71488072004,0.661978710233,0.603911326956,0.624559436009,0.785537368451,0.385682480801,0.397556433895,0.839731883678,0.686182348358,0.679651507197,0.751422865149,0.641034304566
